,time,open,high,low,close,fast_sma,slow_sma,crossover
49,1727184000,73.17,73.2,73.13,73.16,72.9515,72.5164,bullish crossover
50,1727184300,73.16,73.17,73.08,73.1,72.97850000000001,72.5356,bullish crossover
51,1727184600,73.09,73.14,72.97,73.01,73.0005,72.5548,bullish crossover
52,1727184900,73.01,73.05,72.96,73.0,73.013,72.5738,bullish crossover
53,1727185200,73.0,73.01,72.87,72.94,73.0195,72.591,bullish crossover
54,1727185500,72.93,72.96,72.74,72.78,73.0175,72.60480000000001,bullish crossover
55,1727185800,72.78,72.84,72.72,72.76,73.0085,72.61880000000001,bullish crossover
56,1727186100,72.76,72.87,72.71,72.83,72.9965,72.6332,bullish crossover
57,1727186400,72.83,72.9,72.83,72.85,72.98949999999999,72.6472,bullish crossover
58,1727186700,72.85,72.93,72.85,72.88,72.9835,72.66059999999999,bullish crossover
59,1727187000,72.88,72.91,72.84,72.88,72.97749999999999,72.6738,bullish crossover
60,1727187300,72.88,72.93,72.85,72.92,72.9745,72.6874,bullish crossover
61,1727187600,72.92,73.07,72.92,73.05,72.978,72.7044,bullish crossover
62,1727187900,73.05,73.08,73.03,73.04,72.98249999999999,72.7214,bullish crossover
63,1727188200,73.04,73.07,73.0,73.04,72.9845,72.739,bullish crossover
64,1727188500,73.04,73.04,72.98,73.0,72.98299999999999,72.755,bullish crossover
65,1727188800,73.0,73.0,72.93,72.95,72.9755,72.7706,bullish crossover
66,1727189100,72.95,72.98,72.93,72.94,72.96950000000001,72.78479999999999,bullish crossover
67,1727189400,72.95,72.95,72.81,72.81,72.9555,72.7962,bullish crossover
68,1727189700,72.81,72.9,72.8,72.84,72.93900000000001,72.8056,bullish crossover
69,1727190000,72.84,72.9,72.83,72.87,72.9245,72.81739999999999,bullish crossover
70,1727190300,72.87,72.9,72.86,72.9,72.9145,72.831,bullish crossover
71,1727190600,72.9,72.92,72.82,72.85,72.9065,72.8426,bullish crossover
72,1727190900,72.85,72.85,72.79,72.84,72.89849999999998,72.8546,None
73,1727191200,72.84,72.87,72.81,72.82,72.89250000000001,72.8656,None
74,1727191500,72.83,72.83,72.75,72.81,72.894,72.875,None
75,1727191800,72.81,72.91,72.8,72.85,72.89849999999998,72.888,None
